4	Is there a reason why we should travel alone?	What is your New Years Resolution?	Which liquid roof sealant is the best cost or value for a rolled shingle flat roof that is easy to apply?	What is your opinion on PM Narendra Modi's decision to ban INR 500 and INR 1000 notes?	Can I pass a urine test for meth in 56 hrs?	What are some reasons to travel alone?
3	I am 25 year old guy and never had a girlfriend. Is this weird?	What book should you read before you die?	What is it like to live in Denmark?	I had sex like 4 days ago and we didn't use a condom. I'm scared he didn't pull out fast enough. Could I be pregnant?	I am 25 years old. I have never had a girlfriend. Is something wrong with me?	How can someone overcome servere social anxiety?
0	"What does a good answer on Quora look like? What does it mean to ""be helpful""?"	How do you write a good answer on Quora?	What is a good solar panel installation provider near Lemon Cove, California CA?	Is Dry orgasm for a male teen normal?	How do you make the perfect Hungarian Goulash?	What does it mean when a guy turns around to look at you? Is he interested or checking me out?
2	What are the best things to do in Hong Kong?	Why are fighter aircraft still used if antiaircraft missiles are so effective?	Why were my last few questions I asked marked as needing improvement?	What is the best thing in Hong Kong?	Why do masturbation causes hair fall in 90% men but not for women?	What is the most irritating thing on Quora?
3	Which is the best gaming laptop under 40k?	How can I know it my long distance boyfriend is cheating on me or not?	Which quads/ATV are street-legal in the US?	What are some of the ways you can calculate a discount percentage?	Which is the best gaming laptop under 40,000 rs?	How can you teach the importance of why we must recycle?
1	What was the deadliest battle in history?	How useful has Khan Academy been to you?	What was the bloodiest battle in history?	What should you do if you think you love someone other than your husband?	Is Bizbilla.com the best source of information for suppliers?	are aliens real or are they fake ?
3	What are your views about demonetisation in India?	What is the reason many engineering students can't get job?	If you could change one feature of yourself, what would it be?	When is the new MacBook Pro rumored to release?	What do you think about the ban on 500 and 1000 denomination notes in India?	How can I lose weight in 21 days?
1	Is it a bad time to buy a condo or a house in the Bay Area in 2017?	What's the difference between cd and DVD?	Would 2017 be a good time to buy a house in Bay Area?	What the purpose of life on earth?	How can I hitchhike through Europe?	What can I do to improve my chances of getting into an Ivy League school?
3	What is the Sahara, and how do the average temperatures there compare to the ones in the Patagonian Desert?	What nonprofits are leading the way in a nonviolent consumer revolution?	Which franchise I can get in Rs 25000?	How can one wake up early in the morning?	What is the Sahara, and how do the average temperatures there compare to the ones in the Registan Desert?	What is more effective in terms of losing weight.. trade mil or running in the ground?
2	What books should I read as an aspiring entrepreneur?	What are haploid and diploid cells?	How many of you read on wattpad?	What are the top books an aspiring teen entrepreneur should read?	Is experience certificate a mandatory valid proof of work-ex for admission into IIMs during GD/PI or later?	How can I know for sure that I am an introvert?
2	If universe is expanding without a limit and dark and vacuum energy are created as it expands…?	Where do cottonmouth snakes typically hibernate?	What are Sodexo coupons? Why does a company give Sodexo coupons to its employees? What's the business model of Sudexo?	If universe can expand without limit and it creates dark/vacuum/gravitational energy with it,then is the potential energy infinite?	Is a Masters in management (MiM) Worth doing from USA? If Yes, Please Enlighten About Its Pros & Cons. (For A B.Com Pass out Student specifically).	Could the arrow of time associated with the Big Bang actually be the time associated with the outflow of a universal black hole?
3	What people who you've never met have influenced your life the most?	I love my best friend but she said she don't have feelings for me.I really love her and I dont want anyone else in my lyf. What should I do now?	When do you know when it's time to break up with someone?	What things do we need to improve in our philippine national police?	Who are people you have never met who have had the greatest influence on your life?	What is the Samsung Galaxy S4 Zoom?
0	Are vacuum fluctuations occuring because the energy in vacuum? Are these virtual particles?	Do virtual particles and energy in vacuum really exist? Can we observe them? Where? When?	If humans evolved from monkeys then why are monkeys still around?	What does F.O.A.M. stand for?	What is the difference between a synchronous machine and an induction machine?	What are some of the best luxury resorts in Jaipur?
4	I'm going to be US President one day. What should I start doing now to achieve this?	What does it feel like to have low self esteem?	What is wrong with Indian education system? How can we improve it?	What is an intuitive explanation of upper hemicontinuity and lower hemicontinuity?	Who is currently the most famous person alive? Who is in the top 10?	I'm 16 and I want to become the US president someday. What should I start doing?
2	Why MS Dhoni leave captaincy of ODI & T-20?	What is the effect of demonetization on bank loan interest rates?	Labrador Retrievers: Can a 3 month old puppy handle being alone at home for 8 hours (3 days a week)?	Why does M.S Dhoni left captaincy for ODI and T20?	What is the scope of an electronics and communications engineer in India?	What is the best time to start CAT preparation?
